MUI.CreateTextH2|MUI.CreateTextH2({CURSOR})|h2 title text
app.CreateQR|app.CreateQR({CURSOR})|Creates a QR code generator
app.CreateBarcodeGen|app.CreateBarcodeGen({CURSOR})|Creates a barcode generator
app.CreateChart|app.CreateChart({CURSOR})|Creates a chart
app.CreatePieChart|app.CreatePieChart({CURSOR})|Creates a pie chart
app.CreateBarChart|app.CreateBarChart({CURSOR})|Creates a bar chart
app.CreateLineChart|app.CreateLineChart({CURSOR})|Creates a line chart
app.CreateScatterChart|app.CreateScatterChart({CURSOR})|Creates a scatter chart
app.CreateMap|app.CreateMap({CURSOR})|Creates a map view
app.CreateMarker|app.CreateMarker({CURSOR})|Creates a map marker
app.CreatePolygon|app.CreatePolygon({CURSOR})|Creates a map polygon
app.CreatePolyline|app.CreatePolyline({CURSOR})|Creates a map polyline
app.CreateCircle|app.CreateCircle({CURSOR})|Creates a map circle
app.CreateGroundOverlay|app.CreateGroundOverlay({CURSOR})|Creates a ground overlay
app.CreateTileOverlay|app.CreateTileOverlay({CURSOR})|Creates a tile overlay
app.CreateHeatmap|app.CreateHeatmap({CURSOR})|Creates a heatmap layer
app.CreateKML|app.CreateKML({CURSOR})|Creates a KML layer
app.CreateGeocode|app.CreateGeocode({CURSOR})|Creates a geocoding object
app.CreateDirections|app.CreateDirections({CURSOR})|Creates a directions object
app.CreatePlaces|app.CreatePlaces({CURSOR})|Creates a places object
app.CreateStreetView|app.CreateStreetView({CURSOR})|Creates a street view
app.CreateIndoor|app.CreateIndoor({CURSOR})|Creates an indoor map
app.CreateTraffic|app.CreateTraffic({CURSOR})|Creates a traffic layer
app.CreateTransit|app.CreateTransit({CURSOR})|Creates a transit layer
app.CreateBike|app.CreateBike({CURSOR})|Creates a biking layer
app.CreateWeather|app.CreateWeather({CURSOR})|Creates a weather layer
app.CreatePDF|app.CreatePDF({CURSOR})|Creates a PDF object
app.CreateDoc|app.CreateDoc({CURSOR})|Creates a document object
app.CreateSpreadsheet|app.CreateSpreadsheet({CURSOR})|Creates a spreadsheet object
app.CreatePresentation|app.CreatePresentation({CURSOR})|Creates a presentation object
app.CreateReport|app.CreateReport({CURSOR})|Creates a report object
app.CreatePrinter|app.CreatePrinter({CURSOR})|Creates a printer object
app.CreateScanner|app.CreateScanner({CURSOR})|Creates a scanner object
app.CreateUSB|app.CreateUSB({CURSOR})|Creates a USB object
app.CreateSerial|app.CreateSerial({CURSOR})|Creates a serial port object
app.CreateMIDI|app.CreateMIDI({CURSOR})|Creates a MIDI object
app.CreateHID|app.CreateHID({CURSOR})|Creates a HID object
app.CreateGameController|app.CreateGameController({CURSOR})|Creates a game controller object
app.CreateLeap|app.CreateLeap({CURSOR})|Creates a Leap Motion object
app.CreateKinect|app.CreateKinect({CURSOR})|Creates a Kinect object
app.CreateVR|app.CreateVR({CURSOR})|Creates a VR object
app.CreateARCore|app.CreateARCore({CURSOR})|Creates an ARCore object
app.CreateARKit|app.CreateARKit({CURSOR})|Creates an ARKit object
app.CreateHololens|app.CreateHololens({CURSOR})|Creates a HoloLens object
app.CreateMagicLeap|app.CreateMagicLeap({CURSOR})|Creates a Magic Leap object
app.CreateDepth|app.CreateDepth({CURSOR})|Creates a depth sensor object
app.CreateThermal|app.CreateThermal({CURSOR})|Creates a thermal camera object
app.CreateLidar|app.CreateLidar({CURSOR})|Creates a LiDAR object
app.CreateRadar|app.CreateRadar({CURSOR})|Creates a radar object
app.CreateSonar|app.CreateSonar({CURSOR})|Creates a sonar object
app.CreateGPS|app.CreateGPS({CURSOR})|Creates a GPS object
app.CreateBeacon|app.CreateBeacon({CURSOR})|Creates a beacon object
app.CreateEddystone|app.CreateEddystone({CURSOR})|Creates an Eddystone beacon
app.CreateIBeacon|app.CreateIBeacon({CURSOR})|Creates an iBeacon
app.CreateAltBeacon|app.CreateAltBeacon({CURSOR})|Creates an AltBeacon
app.CreateWifi|app.CreateWifi({CURSOR})|Creates a WiFi object
app.CreateWifiDirect|app.CreateWifiDirect({CURSOR})|Creates a WiFi Direct object
app.CreateHotspot|app.CreateHotspot({CURSOR})|Creates a hotspot object
app.CreateEthernet|app.CreateEthernet({CURSOR})|Creates an Ethernet object
app.CreateCellular|app.CreateCellular({CURSOR})|Creates a cellular object
app.CreateNFCReader|app.CreateNFCReader({CURSOR})|Creates an NFC reader
app.CreateNFCWriter|app.CreateNFCWriter({CURSOR})|Creates an NFC writer
app.CreateNFCTag|app.CreateNFCTag({CURSOR})|Creates an NFC tag object
app.CreateNFCCard|app.CreateNFCCard({CURSOR})|Creates an NFC card emulation
app.CreateRFID|app.CreateRFID({CURSOR})|Creates an RFID object
app.CreateFingerprint|app.CreateFingerprint({CURSOR})|Creates a fingerprint scanner
app.CreateFaceUnlock|app.CreateFaceUnlock({CURSOR})|Creates a face unlock object
app.CreateIris|app.CreateIris({CURSOR})|Creates an iris scanner
app.CreateVoice|app.CreateVoice({CURSOR})|Creates a voice recognition object
app.CreateBiometric|app.CreateBiometric({CURSOR})|Creates a biometric auth object
app.CreateKeystore|app.CreateKeystore({CURSOR})|Creates a keystore object
app.CreateCrypto|app.CreateCrypto({CURSOR})|Creates a crypto object
app.CreateCipher|app.CreateCipher({CURSOR})|Creates a cipher object
app.CreateSigner|app.CreateSigner({CURSOR})|Creates a signer object
app.CreateVerifier|app.CreateVerifier({CURSOR})|Creates a verifier object
app.CreateKeyPair|app.CreateKeyPair({CURSOR})|Creates a key pair
app.CreateSecretKey|app.CreateSecretKey({CURSOR})|Creates a secret key
app.CreateCertificate|app.CreateCertificate({CURSOR})|Creates a certificate
app.CreateIdentity|app.CreateIdentity({CURSOR})|Creates an identity object
app.CreateWallet|app.CreateWallet({CURSOR})|Creates a wallet object
app.CreateBlockchain|app.CreateBlockchain({CURSOR})|Creates a blockchain object
app.CreateContract|app.CreateContract({CURSOR})|Creates a smart contract
app.CreateToken|app.CreateToken({CURSOR})|Creates a token object
app.CreateDApp|app.CreateDApp({CURSOR})|Creates a DApp object
app.CreateNFT|app.CreateNFT({CURSOR})|Creates an NFT object
app.CreateDeFi|app.CreateDeFi({CURSOR})|Creates a DeFi object
app.CreateExchange|app.CreateExchange({CURSOR})|Creates an exchange object
app.CreateMarket|app.CreateMarket({CURSOR})|Creates a market data object
app.CreateTrade|app.CreateTrade({CURSOR})|Creates a trading object
app.CreateOrder|app.CreateOrder({CURSOR})|Creates an order object
app.CreatePortfolio|app.CreatePortfolio({CURSOR})|Creates a portfolio object
app.CreateAI|app.CreateAI({CURSOR})|Creates an AI object
app.CreateLLM|app.CreateLLM({CURSOR})|Creates a large language model object
app.CreateAgent|app.CreateAgent({CURSOR})|Creates an AI agent
app.CreateChain|app.CreateChain({CURSOR})|Creates a chain object
app.CreateMemory|app.CreateMemory({CURSOR})|Creates a memory object
app.CreateTool|app.CreateTool({CURSOR})|Creates a tool object
app.CreateEmbedding|app.CreateEmbedding({CURSOR})|Creates an embedding object
app.CreateVectorDB|app.CreateVectorDB({CURSOR})|Creates a vector database object
app.CreateRAG|app.CreateRAG({CURSOR})|Creates a RAG object
app.CreateClassifier|app.CreateClassifier({CURSOR})|Creates a classifier
app.CreateRegressor|app.CreateRegressor({CURSOR})|Creates a regressor
app.CreateCluster|app.CreateCluster({CURSOR})|Creates a clustering object
app.CreateRecommender|app.CreateRecommender({CURSOR})|Creates a recommender system
app.CreateDetector|app.CreateDetector({CURSOR})|Creates an anomaly detector
app.CreateForecaster|app.CreateForecaster({CURSOR})|Creates a forecaster
app.CreateOptimizer|app.CreateOptimizer({CURSOR})|Creates an optimizer
app.CreateScheduler|app.CreateScheduler({CURSOR})|Creates a scheduler
app.CreatePipeline|app.CreatePipeline({CURSOR})|Creates a pipeline
app.CreateExperiment|app.CreateExperiment({CURSOR})|Creates an experiment
app.CreateDataset|app.CreateDataset({CURSOR})|Creates a dataset object
app.CreateDataLoader|app.CreateDataLoader({CURSOR})|Creates a data loader
app.CreateFeature|app.CreateFeature({CURSOR})|Creates a feature object
app.CreateTransform|app.CreateTransform({CURSOR})|Creates a transform object
app.CreateNormalizer|app.CreateNormalizer({CURSOR})|Creates a normalizer
app.CreateEncoder|app.CreateEncoder({CURSOR})|Creates an encoder
app.CreateDecoder|app.CreateDecoder({CURSOR})|Creates a decoder
app.CreateAutoencoder|app.CreateAutoencoder({CURSOR})|Creates an autoencoder
app.CreateGAN|app.CreateGAN({CURSOR})|Creates a GAN object
app.CreateVAE|app.CreateVAE({CURSOR})|Creates a VAE object
app.CreateDiffusion|app.CreateDiffusion({CURSOR})|Creates a diffusion model
app.CreateTransformer|app.CreateTransformer({CURSOR})|Creates a transformer model
app.CreateAttention|app.CreateAttention({CURSOR})|Creates an attention layer
app.CreateEmbeddingLayer|app.CreateEmbeddingLayer({CURSOR})|Creates an embedding layer
app.CreateConvLayer|app.CreateConvLayer({CURSOR})|Creates a convolutional layer
app.CreatePoolLayer|app.CreatePoolLayer({CURSOR})|Creates a pooling layer
app.CreateNormLayer|app.CreateNormLayer({CURSOR})|Creates a normalization layer
app.CreateDropoutLayer|app.CreateDropoutLayer({CURSOR})|Creates a dropout layer
app.CreateDenseLayer|app.CreateDenseLayer({CURSOR})|Creates a dense layer
app.CreateRNNLayer|app.CreateRNNLayer({CURSOR})|Creates an RNN layer
app.CreateLSTMLayer|app.CreateLSTMLayer({CURSOR})|Creates an LSTM layer
app.CreateGRULayer|app.CreateGRULayer({CURSOR})|Creates a GRU layer
app.CreateSeqLayer|app.CreateSeqLayer({CURSOR})|Creates a sequence layer
app.CreateAttnLayer|app.CreateAttnLayer({CURSOR})|Creates an attention layer
app.CreateGNN|app.CreateGNN({CURSOR})|Creates a graph neural network
app.CreateGCN|app.CreateGCN({CURSOR})|Creates a graph convolution network
app.CreateGAT|app.CreateGAT({CURSOR})|Creates a graph attention network
app.GetLanguage|app.GetLanguage()|Get the system language
app.SetLanguage|app.SetLanguage({CURSOR})|Set the app language
app.GetLocale|app.GetLocale()|Get the system locale
app.SetLocale|app.SetLocale({CURSOR})|Set the app locale
app.GetTimezone|app.GetTimezone()|Get the timezone
app.SetTimezone|app.SetTimezone({CURSOR})|Set the timezone
app.GetFont|app.GetFont()|Get the default font
app.SetFont|app.SetFont({CURSOR})|Set the default font
app.GetFontSize|app.GetFontSize()|Get the default font size
app.SetFontSize|app.SetFontSize({CURSOR})|Set the default font size
app.GetTextColor|app.GetTextColor()|Get the default text color
app.SetTextColor|app.SetTextColor({CURSOR})|Set the default text color
app.GetBgColor|app.GetBgColor()|Get the default background color
app.SetBgColor|app.SetBgColor({CURSOR})|Set the default background color
app.GetAccentColor|app.GetAccentColor()|Get the accent color
app.SetAccentColor|app.SetAccentColor({CURSOR})|Set the accent color
app.GetPrimaryColor|app.GetPrimaryColor()|Get the primary color
app.SetPrimaryColor|app.SetPrimaryColor({CURSOR})|Set the primary color
app.GetSecondaryColor|app.GetSecondaryColor()|Get the secondary color
app.SetSecondaryColor|app.SetSecondaryColor({CURSOR})|Set the secondary color
app.GetErrorColor|app.GetErrorColor()|Get the error color
app.SetErrorColor|app.SetErrorColor({CURSOR})|Set the error color
app.GetSurfaceColor|app.GetSurfaceColor()|Get the surface color
app.SetSurfaceColor|app.SetSurfaceColor({CURSOR})|Set the surface color
app.GetOnPrimaryColor|app.GetOnPrimaryColor()|Get the on-primary color
app.SetOnPrimaryColor|app.SetOnPrimaryColor({CURSOR})|Set the on-primary color
app.GetOnSecondaryColor|app.GetOnSecondaryColor()|Get the on-secondary color
app.SetOnSecondaryColor|app.SetOnSecondaryColor({CURSOR})|Set the on-secondary color
app.GetOnSurfaceColor|app.GetOnSurfaceColor()|Get the on-surface color
app.SetOnSurfaceColor|app.SetOnSurfaceColor({CURSOR})|Set the on-surface color
app.GetOnErrorColor|app.GetOnErrorColor()|Get the on-error color
app.SetOnErrorColor|app.SetOnErrorColor({CURSOR})|Set the on-error color
app.GetOnBackgroundColor|app.GetOnBackgroundColor()|Get the on-background color
app.SetOnBackgroundColor|app.SetOnBackgroundColor({CURSOR})|Set the on-background color
app.GetWindowBackgroundColor|app.GetWindowBackgroundColor()|Get window background color
app.SetWindowBackgroundColor|app.SetWindowBackgroundColor({CURSOR})|Set window background color
